Time              Gyro_X     Gyro_Y     Gyro_Z    Accel_X    Accel_Y    Accel_Z
372658.832700    0.24196   -0.01599    0.21469   -0.16169   -0.03066    9.82712
372658.842700    0.15659    0.03146    0.26201   -0.17021   -0.00745    9.82515
372658.852700   -0.09351    0.00854    0.56121   -0.16943   -0.01754    9.82131
372658.862700    0.10067    0.17229    0.19395   -0.17018   -0.02184    9.83383
372658.872700    0.25852    0.03042    0.53927   -0.16670   -0.01687    9.82986
372658.882700    0.05667    0.05248    0.34893   -0.16979   -0.02000    9.80957
372658.892700    0.12313   -0.00378    0.04612   -0.17352   -0.01559    9.83557
372658.902700    0.11551    0.06578    0.37781   -0.17320   -0.01739    9.82524
372658.912700    0.11316    0.03621    0.39408   -0.16501   -0.01569    9.81915
372658.922700    0.09608    0.07065    0.45688   -0.16669   -0.01978    9.82632
372658.932700    0.19927    0.04990    0.47521   -0.16424   -0.01277    9.81841
372658.942700    0.01398    0.24465    0.20054   -0.17472   -0.02091    9.82848
372658.952700    0.26975    0.04240    0.15705   -0.17147   -0.02103    9.82633
372658.962700    0.03501   -0.03908    0.38881   -0.16914   -0.01301    9.82270
372658.972700    0.30527    0.21503    0.25245   -0.18521   -0.01805    9.81849
372658.982700    0.03890    0.16805    0.16679   -0.16947   -0.02598    9.82780
372658.992700   -0.06543    0.17647    0.23577   -0.17447   -0.02310    9.82386
372659.002700    0.13109    0.11728    0.09780   -0.16376   -0.00526    9.81336
372659.012700    0.25273    0.10239    0.29954   -0.17075   -0.02484    9.83136
372659.022700    0.15418    0.20821    0.25669   -0.15930   -0.01176    9.82695
372659.032700    0.13837    0.24288    0.48237   -0.17146   -0.01774    9.82131
372659.042700   -0.02853   -0.02097    0.06658   -0.16726   -0.02646    9.83101
372659.052700    0.23262    0.13613    0.26173   -0.15476   -0.00502    9.83688
372659.062700   -0.04652    0.08915    0.45544   -0.17241   -0.01207    9.81414
372659.072700    0.09672   -0.03083    0.33042   -0.16936   -0.02268    9.82243
372659.082700    0.00372    0.18570    0.44811   -0.17443   -0.00708    9.83371
372659.092700    0.14565    0.20380    0.11367   -0.17032   -0.01566    9.81417
372659.102700    0.12330   -0.10691    0.33713   -0.16339   -0.02353    9.82848
372659.112700    0.01851    0.07615    0.29822   -0.16905   -0.01992    9.83202
372659.122700   -0.00069    0.07322    0.43155   -0.17641   -0.01589    9.81739
372659.132700    0.01530    0.14622    0.27118   -0.16780   -0.01820    9.81846
372659.142700    0.11373    0.06555    0.35082   -0.16217   -0.01638    9.83235
372659.152700    0.00275    0.04624    0.29037   -0.17127   -0.01898    9.81312
372659.162700   -0.05357    0.21251    0.50271   -0.16750   -0.01892    9.81989
372659.172700    0.23560    0.09620    0.17710   -0.16742   -0.01583    9.82879
372659.182700    0.15854    0.04183    0.33105   -0.17028   -0.00774    9.81766
372659.192700   -0.04544    0.14599    0.34647   -0.16614   -0.01749    9.82630
372659.202700    0.04320   -0.03226    0.17298   -0.16423   -0.00877    9.83870
372659.212700    0.17664    0.21961    0.29891   -0.17110   -0.01465    9.80846
372659.222700    0.10600   -0.11396    0.25330   -0.16305   -0.01981    9.82453
372659.232700    0.06715    0.14565    0.26219   -0.15268   -0.01419    9.82197
372659.242700    0.01140   -0.05380    0.20884   -0.17711   -0.01002    9.80557
372659.252700    0.31490   -0.04068    0.00716   -0.15802   -0.01852    9.83022
372659.262700    0.08102    0.08474    0.28677   -0.18332   -0.00821    9.82589
372659.272700    0.09878    0.06320    0.11694   -0.16748   -0.02198    9.81136
372659.282700    0.18489    0.23394    0.15321   -0.17062   -0.02382    9.82458
372659.292700    0.11769   -0.06509    0.41333   -0.17497   -0.00432    9.82976
372659.302700    0.16816    0.09757    0.36417   -0.17229   -0.01333    9.81237
372659.312700    0.11854    0.18644    0.26946   -0.16945   -0.02978    9.83532
372659.322700    0.02693    0.06217    0.33449   -0.16740   -0.01295    9.82984
372659.332700    0.01793    0.04727    0.27502   -0.17328   -0.01828    9.81241
372659.342700    0.11912   -0.00378    0.18186   -0.16250   -0.01835    9.83307
372659.352700    0.00321    0.02538    0.40462   -0.16640   -0.01138    9.82126
