
Project:     run2
Program:     Inertial Explorer Version 9.00.2207
Profile:     ARLI_IMU_BIASES
Source:      GNSS/INS Epochs(Smoothed TC Combined)
SolFile:      C:\Users\pleba\Documents\gnss_course\run2\run2.cts
ProcessInfo: run2 by Unknown on 4/24/2026 at 09:12:41

Datum:       ETRS89
Master 1:    Name BUDD00DNK, Status ENABLED
             Antenna height 2.694 m, to ARP [LEIAR25.R4(LEIT)]
             Lat, Lon, El Hgt 55 44 19.91720, 12 29 59.84215, 87.941 m [ETRF2000, 2024.003]
Remote:      Antenna height 0.000 m, to L1PC [Generic(NONE)]
IMU to GNSS Antenna Lever Arms:
             x=0.000, y=0.000, z=0.000 m (x-right, y-fwd, z-up)
Body to IMU Rotations:
             xRot=0.000, yRot=0.000, zRot=0.000 degrees

  GPSTime      AccBiasX      AccBiasY      AccBiasZ    GyroDriftX    GyroDriftY    GyroDriftZ
    (sec)       (m/s^2)       (m/s^2)       (m/s^2)       (deg/s)       (deg/s)       (deg/s)
372658.97  -3.64583E-03   1.18320E-02   9.50989E-03   8.59181E-02   7.86677E-02   2.49825E-01
372658.97  -3.64582E-03   1.18320E-02   9.50989E-03   8.59181E-02   7.86677E-02   2.49825E-01
372658.98  -3.64582E-03   1.18321E-02   9.50989E-03   8.59181E-02   7.86677E-02   2.49825E-01
372658.98  -3.64581E-03   1.18321E-02   9.50989E-03   8.59181E-02   7.86677E-02   2.49825E-01
372658.99  -3.64581E-03   1.18321E-02   9.50989E-03   8.59181E-02   7.86677E-02   2.49825E-01
372658.99  -3.64580E-03   1.18321E-02   9.50989E-03   8.59181E-02   7.86677E-02   2.49825E-01
372659.00  -3.64580E-03   1.18321E-02   9.50989E-03   8.59181E-02   7.86677E-02   2.49825E-01
372659.00  -3.64579E-03   1.18321E-02   9.50989E-03   8.59181E-02   7.86677E-02   2.49825E-01
372659.01  -3.64579E-03   1.18322E-02   9.50989E-03   8.59181E-02   7.86677E-02   2.49825E-01
372659.01  -3.64578E-03   1.18322E-02   9.50989E-03   8.59181E-02   7.86677E-02   2.49826E-01
372659.02  -3.64577E-03   1.18322E-02   9.50989E-03   8.59181E-02   7.86677E-02   2.49826E-01
372659.02  -3.64577E-03   1.18322E-02   9.50989E-03   8.59182E-02   7.86677E-02   2.49826E-01
372659.03  -3.64576E-03   1.18322E-02   9.50989E-03   8.59182E-02   7.86677E-02   2.49826E-01
