time_s,North_m,East_m,Down_m,Vel_N_ms,Vel_E_ms,Vel_D_ms,ECEF_X_m,ECEF_Y_m,ECEF_Z_m
120.79,768.6788084415978,-126.48430427867616,-330.32353313711786,17.81061789052901,-5.797936749280471,-9.134302950815156,3509008.7534401775,778926.2921814083,5251680.428494045
120.8,768.8568865786267,-126.54237617387612,-330.41503495726465,17.808748410959776,-5.804105278747255,-9.144888993620247,3509008.6725019827,778926.2147259458,5251680.604296237
120.81,769.0350453104929,-126.60052176262666,-330.50655083252013,17.813498238095967,-5.8110743587340945,-9.149354666608522,3509008.5915224147,778926.13718581,5251680.780155373
120.82000000000001,769.2132502223221,-126.65880303072342,-330.59791826317644,17.818160188819153,-5.822442676440862,-9.140946951602041,3509008.5104534845,778926.0594868513,5251680.955917725
120.83,769.3914688049749,-126.71716005091214,-330.6893172985649,17.820625573103246,-5.831282252620356,-9.14025136253204,3509008.4294072865,778925.981715343,5251681.1317139
120.84,769.5696435901564,-126.77546665645772,-330.7806946360771,17.818527511558607,-5.830867796739812,-9.138572925290774,3509008.3483736063,778925.903998256,5251681.3074675035
120.85000000000001,769.7477783776237,-126.83378367838496,-330.87214162412886,17.81516166989491,-5.831424069735594,-9.14265687284626,3509008.2674127077,778925.8262866576,5251681.483256211
120.86,769.9259304985089,-126.89221218351608,-330.96357471662327,17.815195264334996,-5.839041706583865,-9.143091791063929,3509008.186454351,778925.7484614259,5251681.659043174
120.87,770.1040243806058,-126.95056968524452,-331.05497693960615,17.811323890073073,-5.836847371926146,-9.141178841792879,3509008.105510673,778925.6707121853,5251681.834771862
120.88,770.2820344355551,-127.0087667009218,-331.1464015415978,17.80444495416082,-5.825416849943662,-9.142033090128821,3509008.024612167,778925.5931373674,5251682.010471918
120.89,770.4599965783955,-127.06692493901707,-331.2378913337459,17.798957830450824,-5.819021506153788,-9.14666386344551,3509007.9437797205,778925.5156169375,5251682.186198938
120.9,770.6379119163207,-127.12510863591591,-331.32948533024995,17.794008462926005,-5.818586972397085,-9.15515439065514,3509007.8630477795,778925.4380927428,5251682.361985806
120.91,770.8158565646024,-127.18322034583043,-331.42101169441116,17.794312715466823,-5.813643001749825,-9.153475778775377,3509007.782239448,778925.3606253279,5251682.537733231
120.92,770.9938399946184,-127.24127695891534,-331.51238788515764,17.796999580338912,-5.8083218800149785,-9.142904647285212,3509007.7013054285,778925.2831864468,5251682.713378282
120.93,771.1718776487199,-127.29933868310029,-331.60363181456046,17.80151016764374,-5.806888912380661,-9.13056355584503,3509007.620256138,778925.205716738,5251682.888944456
120.94,771.349999157957,-127.35760878832433,-331.69468491708597,17.80860400175303,-5.820303331030489,-9.113728036833255,3509007.5390795628,778925.1280053151,5251683.0643999865
120.95,771.5281904364748,-127.41600320495564,-331.7855596288227,17.8156199077785,-5.833062228462088,-9.096223479553023,3509007.4577756794,778925.0501382895,5251683.239747236
120.96000000000001,771.706394001933,-127.4743808701147,-331.87633608138253,17.81877766957596,-5.83619842790405,-9.08383801302067,3509007.3764043064,778924.9722734394,5251683.415020142
120.97,771.8846236388949,-127.53276686814068,-331.96715467096857,17.821568344634674,-5.837799351989417,-9.082518662091127,3509007.2950368244,778924.8944009175,5251683.590342552
120.98,772.0629603374746,-127.59139673353835,-332.05805606997376,17.829636015761658,-5.854590820203229,-9.087599525002894,3509007.2136812303,778924.8162812295,5251683.765793643
120.99000000000001,772.2413702918614,-127.65014596516154,-332.14916971575803,17.837208940564505,-5.868145731434393,-9.103442900714331,3509007.1324088858,778924.7380577516,5251683.941461437
121.0,772.4197513674701,-127.7088202247201,-332.240414607783,17.837808033869422,-5.8676658892509295,-9.117473794266795,3509007.0512156533,778924.6599286353,5251684.117221522
121.01,772.5982222088843,-127.76768017366102,-332.3318175389945,17.843992087463242,-5.879885239249151,-9.132686686432907,3509006.9700769596,778924.5816214168,5251684.29316277
121.02,772.7766616535782,-127.82663187699926,-332.4233503866877,17.843960351714273,-5.890075312798518,-9.146418762693811,3509006.8890548167,778924.503246086,5251684.469193792
121.03,772.9551214599107,-127.88574720930418,-332.5149522164644,17.845307202824344,-5.904380602117615,-9.155594939838705,3509006.8080895697,778924.4247157737,5251684.645293307
121.04,773.1334679665056,-127.94494977652212,-332.60660005455605,17.838202800709695,-5.914964695149809,-9.161720837514856,3509006.727259949,778924.3461262136,5251684.821367155
121.05,773.3117394396389,-128.00408006402398,-332.69823767254945,17.830832460039304,-5.913674074972073,-9.163081465816111,3509006.6464696233,778924.2676194173,5251684.997390359
121.06,773.4898444315711,-128.0633261945029,-332.7899656887855,17.817276946921154,-5.920966733452808,-9.169561598058776,3509006.565888424,778924.1890403867,5251685.173394698
121.07000000000001,773.6679224194847,-128.12258624788285,-332.88187352239925,17.810958128459262,-5.924325821152286,-9.183709421240456,3509006.485430754,778924.1104745197,5251685.349532546
121.08,773.8460238239832,-128.18182373078838,-332.9739353926449,17.81041300479042,-5.923940809123652,-9.19869450726721,3509006.4050338482,778924.0319452634,5251685.5258109365
121.09,774.0241386028797,-128.24114789323409,-333.06616523180674,17.81112293798041,-5.929591105580206,-9.214887458329226,3509006.324737141,778923.9533494626,5251685.702235744
121.10000000000001,774.2022778963251,-128.30052637862315,-333.1584904204984,17.812993884662767,-5.935096079710667,-9.226641774948103,3509006.244484761,778923.8747078575,5251685.878753183
121.11,774.3803716191453,-128.35991305337734,-333.25078879315606,17.81057947581296,-5.937477026516343,-9.228772113894275,3509006.164256222,778923.7960631568,5251686.055222822
121.12,774.5584783801883,-128.41932698731983,-333.34287011251797,17.810643887191624,-5.9400879501230825,-9.215012010445516,3509006.083903913,778923.7173630542,5251686.231520308
121.13,774.7365421499455,-128.47890520882635,-333.43459865543343,17.80779926794958,-5.951910762504364,-9.186906904561575,3509006.0034282566,778923.6384672787,5251686.407501902
121.14,774.9144875574156,-128.53854465569583,-333.52611431742855,17.798960240736424,-5.959933391983557,-9.163346468118927,3509005.9229445565,778923.5595070012,5251686.583240904
121.15,775.0923075077496,-128.5982499664405,-333.61753650552964,17.787650099295583,-5.966998521536999,-9.149261345003046,3509005.8425250947,778923.4804935181,5251686.758832063
121.16,775.2701216331807,-128.65801743210778,-333.70877220862724,17.78349170691882,-5.97349722394159,-9.13213398625766,3509005.762021434,778923.4013976731,5251686.934265738
